id,year,author,title,abstract,library,search_term,url
13-Clerc-OCaml-Java:,2013,Xavier Clerc,OCaml-Java: OCaml on the JVM,"This article presents the OCaml-Java project whose goal is to allow compilation of OCaml sources into Java bytecodes. The ability to run OCaml code on a Java virtual machine provides the developer with means to leverage the strengths of the Java ecosystem lacking in the OCaml world. Most notably, this includes access to a great number of libraries, and foundations for shared-memory concurrent programming. In order to achieve this, the OCaml-Java project does three contributions: (i) an optimized compiler and runtime support to achieve acceptable performance, (ii) an extension of the classical OCaml typer to allow manipulation of Java elements from the OCaml world, and (iii) a library dedicated to concurrent programming.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-40447-4_11
12-Vinoski-Programming,2012,Debasish GhoshJustin SheehyKresten Krab ThorupSteve Vinoski,Programming language impact on the development of distributed systems,"Programming languages have long impacted the development of distributed systems. While much middleware and distributed systems code continues to be developed today using mainstream languages such as Java and C++, several forces have recently combined to drive a renewed interest in other programming languages. The result of these forces has been an increase in the use of programming languages such as Erlang, Scala, Haskell, and Clojure that allow programming at a higher level of abstraction affording better modularity, enhanced speed of development, and added power of reasoning about systems being developed. Such languages can also be used to develop embedded domain specific languages that can expressively and succinctly model issues inherent in distributed systems including concurrency, parallelism, and fault tolerance. In this paper, we first present a history of programming languages and distributed systems, and then explore several alternative languages along with modern systems built using them. We focus on language and application features, how problems of distribution are addressed, concurrency issues, code brevity, extensibility, and maintenance concerns. Finally, we speculate about the possible influences today’s alternative programming languages could have on the future of middleware and distributed systems development.",springer,clojure,http://link.springer.com/article/10.1007/s13174-011-0042-y
10-Mens-Predicated,2010,Jorge VallejosSebastián GonzálezPascal CostanzaWolfgang De MeuterTheo D’HondtKim Mens,Predicated Generic Functions,"This paper presents predicated generic functions, a novel programming language abstraction that allows the expression of context-dependent behaviour in a declarative and modular manner, providing fine-grained control of method applicability and method specificity. Methods are guarded by predicates with user-defined orderings, thereby increasing the expressiveness of existing method dispatching approaches. We have prototyped our proposal in Lambic, an extension of the standard Common Lisp Object System. We illustrate and motivate our approach by discussing the implementation of a collaborative graphical editor.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-14046-4_5
09-Hübner-Lisp,2009,Didier VernaCharlotte HerzeelChristophe RhodesHans Hübner,Lisp,"This report covers the activities of the 5th European Lisp and Scheme Workshop. We introduce the motivation for a workshop focusing on languages in the Lisp family, and mention relevant organizational aspects. We summarize the presentations and discussions, including Mark Tarver and Rich Hickey’s keynote talks, and provide pointers to related work and events.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-02047-6_1
12-Shapiro-Visually,2012,Daniel R. SchlegelStuart C. Shapiro,"Visually Interacting with a Knowledge Base Using Frames, Logic, and Propositional Graphs","The knowledge base of a knowledge representation and reasoning system can simultaneously be thought of as being logic-, frame-, and graph-based. We present a method for naturally extending this three-fold view to methods for visual interaction with the knowledge base in the context of SNePS 3 and its newly developed user interface. Addition to, and querying of, the knowledge base are tasks well suited to a frame or logical representation. Visualization and exploration on the other hand are best done through the use of propositional graphs. We show how these interaction techniques, which are extensions of the underlying knowledge base representation, augment each other to allow users to manipulate and view large knowledge bases.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-29449-5_8
12-Wojciechowski-Typed,2012,Paweł T. Wojciechowski,Typed First-Class Communication Channels and Mobility for Concurrent Scripting Languages,"In the 1990s, there was considerable interest in mobile computation: systems in which running computations (or mobile agents) could be moved from one machine to another. Much of this work was in terms of high-level programming languages and mobile process calculi. An example is Nomadic Pict—a prototype high-level programming language in which to express and verify overlay networks, for reliable communication between mobile agents. One can ask whether the language abstractions could be useful for scripting programming in modern distributed deployment platforms, such as many-core processors, grids, web servers and datacentres. In this paper, we demonstrate selected features of Nomadic Pict, and show the use of typed channels and agent mobility for programming in the grid. We demonstrate example design patterns that can be used for implementing safe message passing, test & send, system bootstrapping, and relocatable computation.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-28830-2_22
10-Cader-Protrace:,2010,Konrad GrzanekAndrzej Cader,Protrace: Effective Recursion Tracing and Debugging Library for Functional Programming Style in Common Lisp,Among programming styles the functional one has gained an increasing attention in the recent years. Lisp dialects and Common Lisp in particular have always been languages of choice for artificial intelligence systems implementation. Debugging functional algorithms based in the natural way on recursion and immutability is especially hard. This article presents a library that allows the programmer to mark and trace Common Lisp expressions evaluation.,springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-13232-2_57
12-Purvis-Augmenting,2012,Christopher FrantzMariusz NowostawskiMartin K. Purvis,Augmenting Android with AOSE Principles for Enhanced Functionality Reuse in Mobile Applications,The Android platform has popularized and caused a widespread adoption of its application development approach based on loosely coupled application components. This loose coupling allows for a flexible composition of applications but also enables invocations and reuse of individual components from third-party applications.,springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-27216-5_13
10-Villa-Bridging,2010,Ferdinando Villa,Bridging Scales and Paradigms in Natural Systems Modeling,"I present a new modeling formalism that enables multiple-scale, multiple-paradigm, and modular modeling. The formalism starts with a generalization of the semantics of scientific observations, where specialized observation classes compute their states by running models, using the states of the dependent observations as input, inheriting, intersecting and harmonizing their topologies of time and space. This formalism, called semantic meta-modeling, offers a uniform and cohesive approach that encompasses data management, storage, querying and many aspects of traditional modeling. I will show how simple, elegant model specifications can be rewritten into queries that can be run on a semantic database to produce semantically annotated model results. The algorithm automatically operates context translation, matching probabilistic with deterministic data and models, performing data-driven structural transformations of model structure as required by the context, and seamlessly mixing traditionally isolated paradigms such as agent-based with process-based or temporally- with spatially-explicit.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-16552-8_1
13-Ierusalimschy-LuaRocks,2013,Hisham MuhammadFabio MascarenhasRoberto Ierusalimschy,LuaRocks - A Declarative and Extensible Package Management System for Lua,"While sometimes dismissed as an operating systems issue, or even a matter of systems administration, module management is deeply linked to programming language design. The main issues are how to instruct the build and runtime environments to find modules and handle their dependencies; how to package modules into redistributable units; how to manage interaction of code written in different languages; and how to map modules to files. These issues are either handled by the language itself or delegated to external tools. Language-specific package managers have risen as a solution to these problems, as they can perform module management portably and in a manner suited to the overall design of the language. This paper presents LuaRocks, a package manager for Lua modules. LuaRocks adopts a declarative approach for specifications using Lua itself as a description language and features an extensible build system that copes with the heterogeneity of the Lua ecosystem.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-40922-6_2
10-Kestler-A,2010,Johann M KrausHans A Kestler,A highly efficient multi-core algorithm for clustering extremely large datasets,"In recent years, the demand for computational power in computational biology has increased due to rapidly growing data sets from microarray and other high-throughput technologies. This demand is likely to increase. Standard algorithms for analyzing data, such as cluster algorithms, need to be parallelized for fast processing. Unfortunately, most approaches for parallelizing algorithms largely rely on network communication protocols connecting and requiring multiple computers. One answer to this problem is to utilize the intrinsic capabilities in current multi-core hardware to distribute the tasks among the different cores of one computer.",springer,clojure,http://link.springer.com/article/10.1186/1471-2105-11-169
12-Katayama-Sharing,2012,Pjotr PrinsNaohisa GotoAndrew YatesLaurent GautierScooter WillisChristopher FieldsToshiaki Katayama,Sharing Programming Resources Between Bio* Projects Through Remote Procedure Call and Native Call Stack Strategies,"Open-source software (OSS) encourages computer programmers to reuse software components written by others. In evolutionary bioinformatics, OSS comes in a broad range of programming languages, including C/C++, Perl, Python, Ruby, Java, and R. To avoid writing the same functionality multiple times for different languages, it is possible to share components by bridging computer languages and Bio* projects, such as BioPerl, Biopython, BioRuby, BioJava, and R/Bioconductor. In this chapter, we compare the two principal approaches for sharing software between different programming languages: either by remote procedure call (RPC) or by sharing a local call stack. RPC provides a language-independent protocol over a network interface; examples are RSOAP and Rserve. The local call stack provides a between-language mapping not over the network interface, but directly in computer memory; examples are R bindings, RPy, and languages sharing the Java Virtual Machine stack. This functionality provides strategies for sharing of software between Bio* projects, which can be exploited more often. Here, we present cross-language examples for sequence translation, and measure throughput of the different options. We compare calling into R through native R, RSOAP, Rserve, and RPy interfaces, with the performance of native BioPerl, Biopython, BioJava, and BioRuby implementations, and with call stack bindings to BioJava and the European Molecular Biology Open Software Suite. In general, call stack approaches outperform native Bio* implementations and these, in turn, outperform RPC-based approaches. To test and compare strategies, we provide a downloadable BioNode image with all examples, tools, and libraries included. The BioNode image can be run on VirtualBox-supported operating systems, including Windows, OSX, and Linux.",springer,clojure,http://link.springer.com/protocol/10.1007/978-1-61779-585-5_21
13-Bono-Eliciting,2013,Pierre GrenonBernard de Bono,Eliciting candidate anatomical routes for protein interactions: a scenario from endocrine physiology,"In this paper, we use: i) formalised anatomical knowledge of connectivity between body structures and ii) a formal theory of physiological transport between fluid compartments in order to define and make explicit the routes followed by proteins to a site of interaction. The underlying processes are the objects of mathematical models of physiology and, therefore, the motivation for the approach can be understood as using knowledge representation and reasoning methods to propose concrete candidate routes corresponding to correlations between variables in mathematical models of physiology. In so doing, the approach projects physiology models onto a representation of the anatomical and physiological reality which underpins them.",springer,clojure,http://link.springer.com/article/10.1186/1471-2105-14-131
11-Wickham-Mutable,2011,Hadley Wickham,Mutable objects in R,"Programming paradigms help us understand the differences and similarities between fundamental choices in language design. This paper looks at R in the context of three paradigms of object oriented programming: mutable versus immutable objects, generic-function versus message-passing methods, and class-based versus prototype-based inheritance. The paper also describes a new OO package for R, mutatr, which provides mutable objects with message-passing methods and prototype-based inheritance. The mutatr package is available on CRAN.",springer,clojure,http://link.springer.com/article/10.1007/s00180-011-0235-7
10-Herlihy-Transactional,2010,Maurice Herlihy,Transactional Memory Today,"The term “Transactional Memory” was coined back in 1993, but even today, there is a vigorous debate about what it means and what it should do. This debate sometimes generates more heat than light: terms are not always well-defined and criteria for making judgments are not always clear.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-11659-9_1
13-Nilsson-Haskell,2013,Bas van GijzelHenrik Nilsson,Haskell Gets Argumentative,"Argumentation theory is an interdisciplinary field studying how conclusions can be reached through logical reasoning. The notion of argument is completely general, including for example legal arguments, scientific arguments, and political arguments. Computational argumentation theory is studied in the context of artificial intelligence, and a number of computational argumentation frameworks have been put forward to date. However, there is a lack of concrete, high level realisations of these frameworks, which hampers research and applications at a number of levels. We hypothesise that the lack of suitable domain-specific languages in which to formalise argumentation frameworks is a contributing factor. In this paper, we present a formalisation of a particular computational argumentation framework, Carneades, as a case study with a view to investigate the extent to which functional languages are useful as a means to realising computational argumentation frameworks and reason about them.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-40447-4_14
11-Graffi-Programming,2011,Christian ScheidelerKalman Graffi,Programming for Distributed Computing: From Physical to Logical Networks,"The first programming languages predate computers and were mostly used as a form of mathematical reasoning. With the advent of modern electronic computers, programming languages became prominent as tools to specify and control the behaviour of these machines. A programming language is an artificial language that makes use of the functions that can be performed by a machine and allows one to express algorithms precisely. Early languages (see Chap. 4) were Fortran (1957) and Algol (1958), which were used for numerical computations. Cobol was issued in 1962 and optimized for business applications. Many other influential languages emerged from the late 1960s to the late 1970s, among them Simula (which introduced object-oriented programming), C, Smalltalk, Prolog (the first logic programming language) and ML (realizing a polymorphic type system on top of Lisp). Each of these languages spawned an entire family of descendants, and most modern languages count at least one of them in their ancestry.",springer,clojure,http://link.springer.com/chapter/10.1007/978-1-4614-1168-0_9
13-White-Notions,2013,Graham White,Notions of Information: Remarks on Fresco’s Paper,"We compare Fresco’s analysis of the Turing machine-based notion of computation with that of others, in particular with functional programming and with the reversible computing paradigm of Toffoli and others. We conclude that, although much useful philosophical work can be done by the sort of analysis that Fresco proposes, there is, nevertheless, always likely to be a number of individually viable but different accounts of computation.",springer,clojure,http://link.springer.com/article/10.1007/s13347-012-0073-8
12-Hofstedt-Die,2012,Petra Hofstedt,Die Evolution der Programmiersprachen der KI,"Neben Prolog und Lisp als wichtigste historische Repräsentanten der Programmiersprachen der Künstlichen Intelligenz hat sich mit der Entwicklung neuer Schwerpunkte innerhalb der KI auch ein breites Spektrum an KI-Sprachen herausgebildet, darunter constraint-basierte Sprachen, Multiparadigmen-Sprachen, die Sprachen des Semantic Web, Planungssprachen, Agentensprachen, und Sprachen zum Einsatz in der Robotik. Wir skizzieren in diesem Übersichtsartikel einen Ausschnitt der historischen Entwicklung und geben eine Einführung für diesen Themenschwerpunkt.",springer,clojure,http://link.springer.com/article/10.1007/s13218-011-0157-0
13-Gonder-TESS,2013,Matthew W. MitchellBrian RowePaul R. Sesink CleeMary Katherine Gonder,TESS Ad-Mixer: A novel program for visualizing TESS Q matrices,"TESS Ad-Mixer (available at http://www.albany.edu/faculty/gonder/Lab/index.html), is a Windows program we developed to display spatial interpolations of Q matrices generated by the program TESS. TESS Ad-Mixer provides an easy way to create two-dimensional representation of the Q matrices for two or more genetic clusters. The program uses a pixel based, vector algorithm that allows the user to specify a color scheme. The program generates spatially accurate, high-resolution files that are ideal for data display.",springer,clojure,http://link.springer.com/article/10.1007/s12686-013-9987-4
13-Niccolini-Scaling,2013,Davide SimoncelliMaurizio DusiFrancesco GringoliSaverio Niccolini,Scaling Out the Performance of Service Monitoring Applications with BlockMon,"To cope with real-time data analysis as the amount of data being exchanged over the network increases, an idea is to re-design algorithms originally implemented on the monitoring probe to work in a distributed manner over a stream-processing platform. In this paper we show preliminary performance analysis of a Twitter trending algorithm when running over BlockMon, an open-source monitoring platform which we extended to run distributed data-analytics algorithms: we show that it performs up to 23.5x and 34.2x faster on BlockMon than on Storm and Apache S4 respectively, two emerging stream-processing platforms.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-36516-4_26
12-Blair-Guest,2012,Valérie IssarnyGordon Blair,Guest editorial: Special issue on the future of middleware,,springer,clojure,http://link.springer.com/article/10.1007/s13174-011-0058-3
11-Sipper-Finch:,2011,Michael OrlovMoshe Sipper,Finch: A System for Evolving Java (Bytecode),"The established approach in genetic programming (GP) involves the definition of functions and terminals appropriate to the problem at hand, after which evolution of expressions using these definitions takes place. We have recently developed a system, dubbed FINCH (Fertile Darwinian Bytecode Harvester), to evolutionarily improve actual, extant software, which was not intentionally written for the purpose of serving as a GP representation in particular, nor for evolution in general. This is in contrast to existing work that uses restricted subsets of the Java bytecode instruction set as a representation language for individuals in genetic programming. The ability to evolve Java programs will hopefully lead to a valuable new tool in the software engineer’s toolkit.",springer,clojure,http://link.springer.com/chapter/10.1007/978-1-4419-7747-2_1
13-Clerc-OCaml-Java:,2013,Xavier Clerc,OCaml-Java: From OCaml Sources to Java Bytecodes,"This article presents the code generation scheme of the OCaml-Java compiler. The goal of the OCaml-Java project is to allow execution of OCaml programs on a Java Virtual Machine. In order to achieve decent performance, it is necessary to build a compiler producing optimized bytecode that will rely on an efficient support library at runtime.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-41582-1_5
12-Qin-A,2012,Granville BarnettShengchao Qin,A Composable Mixed Mode Concurrency Control Semantics for Transactional Programs,"Most software transactional memories employ optimistic concurrency control. A pessimistic semantics, however, is not without its benefits: its programming model is often much simpler to reason about and supports the execution of irreversible operations. We present a programming model that supports both optimistic and pessimistic concurrency control semantics. Our pessimistic transactions, guaranteed transactions (gatomics), afford a stronger semantics than that typically employed by pessimistic transactions by guaranteeing run once execution and safe encapsulation of the privatisation and publication idioms. We describe our mixed mode transactional programming language by giving a small step operational semantics. Using our semantics and their derived schedules of actions (reads and writes) we show that conflicting transactions (atomics) and gatomics are serialisable. We then go on to define schedules of actions in the form of Java’s memory model (JMM) and show that the same properties that held under our restrictive memory model also hold under our modified JMM.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-34281-3_6
13-Chen-A,2013,Yi-Hsing ChangJheng-Yu Chen,A Hybrid Cloud for Effective Retrieval from Public Cloud Services,"For a hybrid cloud, efficient identity authentication and services retrieval are the two most important issues. Therefore, this paper proposes an architecture for a hybrid cloud that solves these two problems. The services requiring a large amount of resources are designed to be intelligent agents and embedded into a private cloud for applications supported by the Google application engine (GAE). When the users acquire the services from the hybrid cloud, these intelligent agents efficiently authenticate the access rights and retrieve the required services for users.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-36546-1_7
11-Laddad-A,2011,Ramnivas Laddad,A Real-World Perspective of AOP,"What is the real deal with AOP? Is it something that you should embrace or ignore? What do you gain with AOP, and what do you risk by adopting it? Let’s address these important questions from a practitioner’s point of view. We’ll start with AOP in the context of the typical hype cycle. This will give us a historical perspective on AOP evolution and indicate what lies ahead. We also look at the landscape, focusing on the current situation and changes in last few years. While AOP is a more general concept, because our focus is the real world use of it, we’ll focus on AspectJ—its most prominent implementation.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-22031-9_3
12-Walker-CMQ,2012,Joerg FritschCoral Walker,"CMQ - A lightweight, asynchronous high-performance messaging queue for the cloud","In cloud computing environments guarantees, consistency mechanisms, (shared) state and transactions are frequently traded for robustness, scalability and performance. Based on this challenge we present CMQ, a UDP-based inherently asynchronous message queue to orchestrate messages, events and processes in the cloud. CMQ’s inherently asynchronous design is shown to perform especially well in modern Layer 2 switches in data center networks, as well as in the presence of errors. CMQ’s lightweight edge-to-edge design, which is somewhat similar to Unix Pipes, makes it very composable. By presenting our work, we hope to initiate discussion on how to implement lightweight messaging paradigms that are aligned with the overall architectures and goals of cloud computing.",springer,clojure,http://link.springer.com/article/10.1186/2192-113X-1-20
10-Taylor-An,2010,Ronald C Taylor,An overview of the Hadoop/MapReduce/HBase framework and its current applications in bioinformatics,"Bioinformatics researchers are now confronted with analysis of ultra large-scale data sets, a problem that will only increase at an alarming rate in coming years. Recent developments in open source software, that is, the Hadoop project and associated software, provide a foundation for scaling to petabyte scale data warehouses on Linux clusters, providing fault-tolerant parallelized analysis on such data using a programming style named MapReduce.",springer,clojure,http://link.springer.com/article/10.1186/1471-2105-11-S12-S1
13-Xhafa-Parallel,2013,Ciprian DobreFatos Xhafa,Parallel Programming Paradigms and Frameworks in Big Data Era,"With Cloud Computing emerging as a promising new approach for ad-hoc parallel data processing, major companies have started to integrate frameworks for parallel data processing in their product portfolio, making it easy for customers to access these services and to deploy their programs. We have entered the Era of Big Data. The explosion and profusion of available data in a wide range of application domains rise up new challenges and opportunities in a plethora of disciplines—ranging from science and engineering to biology and business. One major challenge is how to take advantage of the unprecedented scale of data—typically of heterogeneous nature—in order to acquire further insights and knowledge for improving the quality of the offered services. To exploit this new resource, we need to scale up and scale out both our infrastructures and standard techniques. Our society is already data-rich, but the question remains whether or not we have the conceptual tools to handle it. In this paper we discuss and analyze opportunities and challenges for efficient parallel data processing. Big Data is the next frontier for innovation, competition, and productivity, and many solutions continue to appear, partly supported by the considerable enthusiasm around the MapReduce paradigm for large-scale data analysis. We review various parallel and distributed programming paradigms, analyzing how they fit into the Big Data era, and present modern emerging paradigms and frameworks. To better support practitioners interesting in this domain, we end with an analysis of on-going research challenges towards the truly fourth generation data-intensive science.",springer,clojure,http://link.springer.com/article/10.1007/s10766-013-0272-7
12-Odersky-JavaScript,2012,Grzegorz KossakowskiNada AminTiark RompfMartin Odersky,JavaScript as an Embedded DSL,"Developing rich web applications requires mastering different environments on the client and server sides. While there is considerable choice on the server-side, the client-side is tied to JavaScript, which poses substantial software engineering challenges, such as moving or sharing pieces of code between the environments. We embed JavaScript as a DSL in Scala, using Lightweight Modular Staging. DSL code can be compiled to JavaScript or executed as part of the server application. We use features of the host language to make client-side programming safer and more convenient. We use gradual typing to interface typed DSL programs with existing JavaScript APIs. We exploit a selective CPS transform already available in the host language to provide a compelling abstraction over asynchronous callback-driven programming in our DSL.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-31057-7_19
11-Keidar-SMV:,2011,Dmitri PerelmanAnton ByshevskyOleg LitmanovichIdit Keidar,SMV: Selective Multi-Versioning STM,"We present Selective Multi-Versioning (SMV), a new STM that reduces the number of aborts, especially those of long read-only transactions. SMV keeps old object versions as long as they might be useful for some transaction to read. It is able to do so while still allowing reading transactions to be invisible by relying on automatic garbage collection to dispose of obsolete versions.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-24100-0_9
13-Stankovski-Experiences,2013,Dana PetcuBeniamino Di MartinoSalvatore VenticinqueMassimiliano RakTamás MáhrGorka Esnal LopezFabrice BritoRoberto CossuMiha StoparSvatopluk ŠperkaVlado Stankovski,Experiences in building a mOSAIC of clouds,"The diversity of Cloud computing services is challenging the application developers as various and non-standard interfaces are provided for these services. Few middleware solutions were developed until now to support the design, deployment and execution of service-independent applications as well as the management of resources from multiple Clouds. This paper focuses on one of these advanced middleware solutions, called mOSAIC. Written after the completion of its development, this paper presents an integrated overview of the mOSAIC approach and the use of its various software prototypes in a Cloud application development process. We are starting from the design concepts and arrive to various applications, as well as to the position versus similar initiatives.",springer,clojure,http://link.springer.com/article/10.1186/2192-113X-2-12
11-Engelschall-Pluggable,2011,Bernhard G. HummRalf S. Engelschall,Pluggable Programming Language Features for Incremental Code Quality Enhancement,"Evolutionary prototyping is an incremental software development method in which a proof of concept is, step by step, extended towards the final product. This article pleads for a programming approach termed “incremental code quality enhancement” when developing software incrementally. However, current programming languages are not well suited for incremental code quality enhancement. They are inflexible regarding their use of language features like typing, access control, contracts, etc. In some languages, the programmer is forced to use them, in others he may not. This article introduces pluggable programming language features, a concept that allows greater flexibility for application programmers without losing control over the use of those features. The approach is demonstrated exemplary by interface specifications for a business information system.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-23391-3_1
"13-Grossman-Java
",2013,Colin S. GordonWerner DietlMichael D. ErnstDan Grossman,"Java
              
                UI
              : Effects for Controlling UI Object Access","Most graphical user interface (GUI) libraries forbid accessing UI elements from threads other than the UI event loop thread. Violating this requirement leads to a program crash or an inconsistent UI. Unfortunately, such errors are all too common in GUI programs.",springer,clojure,http://link.springer.com/chapter/10.1007/978-3-642-39038-8_8
12-Cock-Introduction,2012,Jeroen JanssenSteven SchockaertDirk VermeirMartine de Cock,Introduction,"Language is one of the most important tools that exist. It allows humans to communicate efficiently and to transfer knowledge between generations. According to Benjamin Whorf, language even shapes views and influences thoughts. Unfortunately, while human language is useful for communication between humans, it is not as efficient for communicating with our modern day devices. Therefore, ever since the rise of computers, the need has grown for languages that enable us to tell these machines what we expect them to do. Such languages are called programming languages. Their foundations can be dated back to the 1800s, where Joseph Marie Jacquard used punched cards to encode cloth patterns for his textile machine, called the “Jacquard loom”. Charles Babbage improved on this idea when designing his “analytical engine” by allowing the machine to be reprogrammed using punched cards. Hence, instead of merely using the punched cards as data, the analytical engine could perform arbitrary computations that were encoded in the punched cards. As such, we can consider this the first real programmable machine",springer,clojure,http://link.springer.com/chapter/10.2991/978-94-91216-59-6_1
